frames,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
0,496,222,-0.24335424602031708,501,214,-0.22827675938606262,504,214,-0.22826269268989563,507,215,-0.22826018929481506,492,213,-0.2393525391817093,488,213,-0.23937049508094788,485,213,-0.23933985829353333,509,219,-0.12389709055423737,481,218,-0.1757647693157196,500,231,-0.2016361653804779,490,231,-0.2165176421403885,512,275,-0.004086455330252647,462,268,-0.16330862045288086,512,344,0.05310235172510147,461,338,-0.16987673938274384,526,403,-0.017423279583454132,466,407,-0.21556124091148376,532,425,-0.03017573058605194,463,429,-0.24015966057777405,531,425,-0.05827953293919563,472,430,-0.2470395267009735,527,417,-0.031675055623054504,475,423,-0.21836891770362854,511,399,0.05694612115621567,481,397,-0.05701439455151558,506,502,0.08860578387975693,482,500,-0.07074625790119171,496,599,0.1687680035829544,481,603,-0.009622213430702686,484,615,0.17278291285037994,470,621,-0.008288491517305374,523,619,0.11012234538793564,503,624,-0.09928636997938156
1,497,222,-0.24455979466438293,501,214,-0.2281457483768463,504,214,-0.22812974452972412,507,215,-0.2281300574541092,492,213,-0.23977525532245636,489,213,-0.2397940456867218,485,213,-0.23976066708564758,509,220,-0.11726561933755875,480,217,-0.17614811658859253,501,232,-0.20176264643669128,491,231,-0.21838393807411194,512,276,0.002423299476504326,460,270,-0.16095347702503204,516,345,0.0686863362789154,457,341,-0.16080999374389648,529,404,0.004099484533071518,464,408,-0.2095116823911667,535,425,-0.009600380435585976,461,429,-0.23611053824424744,533,425,-0.04016922414302826,470,430,-0.2459617406129837,529,417,-0.010919631458818913,473,423,-0.21370382606983185,512,396,0.05604909732937813,480,396,-0.056108258664608,507,501,0.05998169258236885,482,499,-0.06946177035570145,496,599,0.1329677551984787,480,603,-0.0010428496170789003,484,615,0.13496366143226624,469,620,0.00019592484750319272,523,620,0.06049814820289612,498,624,-0.09768395125865936
2,498,222,-0.24336715042591095,502,214,-0.22433075308799744,504,214,-0.22431311011314392,507,214,-0.22431424260139465,493,213,-0.23879802227020264,489,213,-0.23881861567497253,485,213,-0.23878952860832214,509,220,-0.11012165248394012,480,217,-0.17765352129936218,501,232,-0.19951535761356354,491,231,-0.21831412613391876,512,277,0.011948109604418278,459,272,-0.16417835652828217,516,346,0.07716240733861923,453,343,-0.16908852756023407,530,404,0.01100443210452795,461,409,-0.21863749623298645,535,424,-0.002014263765886426,458,430,-0.24683165550231934,534,425,-0.03254317492246628,468,431,-0.25617021322250366,530,417,-0.004153795540332794,471,424,-0.22242049872875214,513,395,0.05789290741086006,480,395,-0.057950347661972046,506,500,0.06951773911714554,482,498,-0.07364717870950699,496,597,0.13669869303703308,479,602,-0.005893464665859938,485,612,0.1403781622648239,469,618,-0.004887428134679794,522,619,0.0788796991109848,498,624,-0.10414189100265503
3,498,221,-0.2498389035463333,502,214,-0.2295900136232376,504,214,-0.22957566380500793,507,214,-0.22958263754844666,493,213,-0.24441325664520264,489,213,-0.2444438636302948,485,213,-0.2444266974925995,508,219,-0.11095760762691498,480,217,-0.18241313099861145,501,232,-0.2054985761642456,491,231,-0.22486691176891327,512,277,0.008570501580834389,458,273,-0.16478092968463898,517,346,0.0723860114812851,452,344,-0.16636806726455688,530,404,0.00502473209053278,460,410,-0.2179146260023117,535,424,-0.008395379409193993,457,430,-0.24575337767601013,534,425,-0.03847116231918335,467,431,-0.2547411620616913,530,418,-0.009894268587231636,470,424,-0.22227151691913605,513,393,0.05751432105898857,480,394,-0.05757050961256027,505,500,0.06112990528345108,482,497,-0.07677608728408813,496,597,0.13522349298000336,478,602,-0.0100762490183115,484,611,0.13751085102558136,468,618,-0.00942134577780962,520,619,0.06564350426197052,497,624,-0.11038396507501602
4,498,221,-0.25244396924972534,502,214,-0.23162344098091125,505,214,-0.23161320388317108,508,214,-0.23162062466144562,493,213,-0.2467149794101715,489,212,-0.24674813449382782,486,212,-0.24673667550086975,508,219,-0.1131591945886612,479,217,-0.18425235152244568,501,232,-0.20770104229450226,491,231,-0.22745764255523682,512,277,0.008267151191830635,458,273,-0.16769729554653168,518,347,0.07292661815881729,452,345,-0.16706892848014832,530,404,0.004403268918395042,460,411,-0.21861186623573303,536,424,-0.009472062811255455,457,431,-0.24722404778003693,534,425,-0.03963560238480568,467,432,-0.2579067647457123,530,419,-0.01057116873562336,469,425,-0.22299699485301971,513,393,0.057792842388153076,479,394,-0.05784999579191208,504,500,0.061871834099292755,481,497,-0.07722924649715424,495,597,0.13882660865783691,478,602,-0.010088104754686356,484,612,0.14109763503074646,468,618,-0.009373410604894161,517,619,0.06858895719051361,496,624,-0.1094817966222763
5,498,221,-0.2518447935581207,502,214,-0.231301948428154,505,214,-0.23129098117351532,508,214,-0.2312975376844406,493,213,-0.24592311680316925,490,212,-0.2459532469511032,486,212,-0.24593870341777802,508,219,-0.11236721277236938,479,217,-0.1834542453289032,501,232,-0.20712748169898987,491,231,-0.22660526633262634,512,277,0.014636586420238018,458,273,-0.1693059504032135,517,347,0.07997728884220123,451,345,-0.17235250771045685,530,405,0.01439619343727827,460,411,-0.22191128134727478,536,424,0.002076721517369151,457,431,-0.25096243619918823,534,426,-0.028379634022712708,467,432,-0.260453462600708,530,419,-0.0005068110767751932,470,425,-0.225595161318779,512,393,0.06081686541438103,479,394,-0.06089116260409355,503,500,0.07576979696750641,482,498,-0.0764545351266861,495,597,0.16531242430210114,477,602,-0.008055122569203377,483,611,0.1688082367181778,467,618,-0.006925324909389019,516,619,0.10030587762594223,496,624,-0.1056310161948204
6,499,221,-0.2419593781232834,503,214,-0.22052423655986786,505,214,-0.2205110490322113,508,215,-0.2205108404159546,493,213,-0.23641712963581085,490,213,-0.23644176125526428,486,213,-0.23643100261688232,508,219,-0.1028503030538559,479,217,-0.1764235645532608,501,232,-0.1967722475528717,492,231,-0.21792085468769073,512,277,0.027775932103395462,458,273,-0.16899169981479645,517,347,0.09166857600212097,452,344,-0.17494215071201324,530,405,0.025202542543411255,460,411,-0.22325558960437775,536,424,0.013797784224152565,457,431,-0.2524719834327698,534,426,-0.01675279811024666,467,432,-0.26101651787757874,530,419,0.010211597196757793,470,425,-0.2264546900987625,511,393,0.065300852060318,479,394,-0.06537802517414093,502,501,0.08540190756320953,482,499,-0.0763094574213028,493,597,0.17523691058158875,476,602,-0.008393457159399986,481,611,0.17896147072315216,465,618,-0.007200050167739391,516,619,0.11355923116207123,497,624,-0.10513868182897568
7,499,221,-0.2385568618774414,503,214,-0.21713337302207947,505,214,-0.21711917221546173,508,215,-0.21711580455303192,494,213,-0.23315660655498505,490,213,-0.23317722976207733,486,213,-0.23316159844398499,508,219,-0.10006048530340195,479,217,-0.1739698201417923,501,232,-0.1935521513223648,492,231,-0.21492020785808563,512,277,0.029969003051519394,459,272,-0.1696111112833023,517,347,0.09335015714168549,452,344,-0.1769331693649292,530,405,0.027848020195961,461,411,-0.22386369109153748,536,424,0.016489753499627113,458,431,-0.25338754057884216,534,426,-0.014331760816276073,467,432,-0.2620115876197815,530,419,0.012789172120392323,470,425,-0.22710537910461426,511,393,0.06751580536365509,479,394,-0.06759248673915863,502,501,0.09361562132835388,482,499,-0.07606760412454605,493,597,0.18562230467796326,475,602,-0.009714720770716667,481,610,0.18955078721046448,464,618,-0.00845322571694851,516,619,0.12390227615833282,497,624,-0.10531618446111679
8,500,222,-0.23408827185630798,503,214,-0.2131352424621582,506,215,-0.21312305331230164,508,215,-0.21312382817268372,494,213,-0.2296450436115265,491,213,-0.22966639697551727,487,213,-0.22964854538440704,508,220,-0.09775591641664505,479,218,-0.1734253466129303,502,232,-0.18959692120552063,493,231,-0.21158047020435333,512,278,0.030258173123002052,459,272,-0.169474259018898,517,347,0.09377475082874298,452,344,-0.17596837878227234,530,405,0.028898347169160843,461,411,-0.22251315414905548,536,424,0.017532698810100555,458,431,-0.2532615661621094,534,426,-0.013251246884465218,468,432,-0.2613830268383026,530,419,0.01387063693255186,471,425,-0.22580385208129883,512,393,0.06740939617156982,479,393,-0.06748025119304657,502,501,0.0899578407406807,482,499,-0.08459705859422684,493,596,0.17757610976696014,475,602,-0.02408752217888832,481,610,0.18107427656650543,464,618,-0.023383380845189095,516,619,0.1142895445227623,498,624,-0.12118232250213623
9,501,222,-0.23209743201732635,504,214,-0.21155495941638947,506,215,-0.21154579520225525,509,215,-0.2115488499403,495,213,-0.22816888988018036,491,213,-0.2281915694475174,488,213,-0.22817504405975342,508,220,-0.0972808301448822,480,218,-0.17341426014900208,502,232,-0.1879831850528717,494,231,-0.210061714053154,512,278,0.029308948665857315,459,272,-0.1692851185798645,518,347,0.09265415370464325,453,343,-0.17445805668830872,530,405,0.025996431708335876,462,411,-0.21987192332744598,536,424,0.013797377236187458,459,431,-0.25085216760635376,534,426,-0.016963589936494827,468,432,-0.2609204649925232,530,419,0.010948206298053265,471,425,-0.22359366714954376,512,392,0.0668209046125412,479,392,-0.0668843537569046,502,501,0.08564240485429764,483,498,-0.0892324224114418,492,596,0.16927304863929749,475,602,-0.031230535358190536,480,610,0.17171230912208557,464,618,-0.030976440757513046,517,619,0.10297627747058868,498,624,-0.13018473982810974
