frames,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
0,502,100,-0.12316595762968063,515,83,-0.10926678776741028,523,82,-0.1093359962105751,530,82,-0.1094113364815712,491,87,-0.10406824201345444,484,88,-0.10406436026096344,477,90,-0.1040550172328949,544,92,-0.01612776517868042,477,99,0.010298180393874645,523,121,-0.08658354729413986,493,126,-0.079364113509655,612,223,0.017730997875332832,449,216,0.05863919109106064,594,372,-0.016141626983880997,420,321,-0.05289557948708534,468,344,-0.03328504413366318,452,166,-0.20099574327468872,434,342,-0.04827282577753067,456,135,-0.23483440279960632,434,321,-0.03873317316174507,457,129,-0.22273193299770355,446,323,-0.028182584792375565,460,140,-0.2012060135602951,569,510,-0.003654106054455042,459,511,0.0036649953108280897,594,754,-0.03612562641501427,480,747,0.03389519453048706,641,998,0.06169911473989487,508,964,0.19145743548870087,625,1019,0.06357409805059433,525,997,0.19970326125621796,659,1030,-0.08683893829584122,496,1035,0.06965615600347519
1,503,100,-0.11209452897310257,515,83,-0.09887845814228058,523,82,-0.09895804524421692,530,82,-0.09904111176729202,492,87,-0.09420036524534225,486,88,-0.09416935592889786,479,89,-0.09413114935159683,544,93,-0.008496338501572609,477,99,0.01544899307191372,523,121,-0.07579789310693741,494,125,-0.06934051215648651,612,223,0.021264301612973213,445,216,0.06674901396036148,598,373,-0.005115143023431301,421,329,-0.014582379721105099,469,317,-0.020924363285303116,503,279,-0.14250940084457397,436,307,-0.03894815593957901,524,270,-0.17322278022766113,441,287,-0.031561098992824554,515,253,-0.16559988260269165,452,292,-0.016275664791464806,496,235,-0.14378434419631958,571,501,-0.004420975223183632,460,503,0.004516808316111565,595,754,-0.06486412137746811,482,745,0.01481696404516697,642,996,0.027283992618322372,509,965,0.13866223394870758,625,1021,0.028525564819574356,525,998,0.14364559948444366,681,1052,-0.11701700091362,497,1039,0.019071567803621292
2,503,102,-0.10738857835531235,514,84,-0.09657786041498184,522,84,-0.09665212035179138,529,84,-0.09673353284597397,492,87,-0.09059425443410873,486,88,-0.09054982662200928,479,90,-0.09050687402486801,544,95,-0.009121904149651527,477,100,0.017247550189495087,522,122,-0.07292167842388153,493,125,-0.06474917382001877,612,223,0.01764375902712345,442,216,0.06806787848472595,599,373,-0.006779723800718784,423,332,-0.020144565030932426,469,307,-0.0017442334210500121,493,271,-0.15470094978809357,438,293,-0.014826824888586998,520,259,-0.18476542830467224,444,278,-0.006006100680679083,499,205,-0.1756916642189026,454,277,0.004725979641079903,492,231,-0.15587390959262848,573,500,-0.0054013957269489765,461,502,0.0055529335513710976,595,754,-0.0675610601902008,484,745,0.01868925616145134,644,996,0.017649104818701744,509,966,0.15330977737903595,625,1022,0.01844681426882744,524,998,0.1594780832529068,689,1061,-0.12207566201686859,497,1040,0.03765932843089104
3,505,102,-0.09399587661027908,516,86,-0.08018340915441513,523,85,-0.08026406913995743,530,85,-0.08036871999502182,494,88,-0.07693178206682205,487,89,-0.07687883079051971,481,90,-0.0768316313624382,544,97,0.01269207801669836,477,101,0.028618764132261276,523,123,-0.05680462345480919,495,126,-0.05235682427883148,612,224,0.0415041521191597,442,216,0.07630933076143265,599,373,0.017558012157678604,429,331,0.019334638491272926,470,296,0.0006957785808481276,509,333,-0.08730357140302658,442,282,-0.01986655779182911,532,338,-0.11736763268709183,449,268,-0.012580949813127518,525,320,-0.11854846030473709,459,267,0.004542284645140171,521,319,-0.09183806926012039,574,497,-0.004648203030228615,462,499,0.0048446934670209885,595,754,-0.07166364043951035,484,741,0.007698936853557825,645,994,0.014164122752845287,509,966,0.13228318095207214,625,1022,0.015076355077326298,524,998,0.1372680962085724,691,1063,-0.12832647562026978,496,1040,0.01401191670447588
4,505,102,-0.09371767938137054,516,87,-0.08026720583438873,523,86,-0.08034656196832657,530,86,-0.0804494172334671,494,89,-0.07628346979618073,487,90,-0.07622771710157394,481,90,-0.07616589218378067,544,98,0.009979212656617165,477,102,0.029638297855854034,522,123,-0.05745309218764305,495,126,-0.05211425945162773,610,226,0.03799879550933838,437,217,0.07861021161079407,599,375,0.013930726796388626,434,331,-0.000722052005585283,471,300,-0.007299961056560278,502,297,-0.12563888728618622,443,283,-0.02662438526749611,511,221,-0.15550857782363892,450,270,-0.01292398665100336,499,208,-0.14998069405555725,460,269,0.000410355074563995,505,246,-0.1284913867712021,573,496,-0.004714876879006624,462,498,0.004912800155580044,596,753,-0.06909720599651337,484,740,0.009132012724876404,646,994,0.018215805292129517,509,966,0.13273252546787262,625,1022,0.01942284218966961,524,998,0.1376829445362091,692,1064,-0.1225106492638588,496,1040,0.01646522991359234
5,505,104,-0.09834446012973785,516,89,-0.0846790298819542,523,89,-0.08475837856531143,530,89,-0.08485955744981766,494,91,-0.0807499885559082,487,91,-0.0807046964764595,481,92,-0.08065284788608551,544,100,0.0066389539279043674,476,103,0.029517289251089096,522,125,-0.06188412755727768,495,127,-0.05636955052614212,609,229,0.03537888824939728,430,218,0.07598582655191422,599,376,0.0037689250893890858,436,331,-0.009736983105540276,474,304,-0.02483368292450905,499,255,-0.13511651754379272,445,291,-0.04198884963989258,509,168,-0.16932344436645508,453,274,-0.026921050623059273,498,161,-0.15841814875602722,463,274,-0.01671072095632553,504,185,-0.13222536444664001,573,497,-0.00421120785176754,460,500,0.00442684767767787,595,753,-0.06861064583063126,482,741,0.01162754651159048,646,993,0.01665499620139599,509,966,0.14190225303173065,625,1022,0.017639540135860443,523,997,0.14745809137821198,694,1064,-0.12375316023826599,496,1040,0.025625979527831078
6,506,106,-0.08695045858621597,517,92,-0.070377416908741,524,92,-0.07047072798013687,531,92,-0.07060418277978897,494,92,-0.06999436020851135,487,93,-0.06995014101266861,481,93,-0.06988432258367538,544,103,0.026897143572568893,475,106,0.031562887132167816,523,128,-0.048704843968153,495,129,-0.04803575575351715,606,231,0.059371720999479294,427,223,0.07980979233980179,599,378,0.011621559038758278,441,330,0.03556646406650543,483,307,-0.024747885763645172,503,246,-0.022823283448815346,450,293,-0.04172271862626076,520,200,-0.042418625205755234,457,276,-0.026968486607074738,495,165,-0.038999877870082855,467,277,-0.016654565930366516,498,185,-0.02476631850004196,573,497,-0.0032459027133882046,460,501,0.003505500964820385,595,753,-0.07510527968406677,482,741,-0.008109568618237972,647,992,0.004545433446764946,509,966,0.10833506286144257,627,1022,0.005314172245562077,522,997,0.11202070116996765,694,1065,-0.13500694930553436,495,1040,-0.013339986093342304
7,508,111,-0.04709358885884285,518,96,-0.027239451184868813,525,96,-0.027338964864611626,533,97,-0.02748122625052929,496,95,-0.03041781671345234,488,96,-0.030384430661797523,482,96,-0.03034338913857937,544,109,0.07079785317182541,474,110,0.05904686450958252,523,135,-0.00936801265925169,495,136,-0.013271329924464226,604,233,0.09146186709403992,422,229,0.09075035154819489,600,378,0.03274243324995041,446,328,0.07668321579694748,486,308,-0.0023045572452247143,529,242,0.08865153044462204,451,294,-0.02123454213142395,554,209,0.07367614656686783,457,278,-0.005885823164135218,536,192,0.07888385653495789,467,278,0.0046037486754357815,531,203,0.08870749920606613,573,497,-0.0019376723794266582,460,502,0.002197684021666646,595,752,-0.07536963373422623,482,741,-0.02435222640633583,646,989,-0.006686074659228325,509,968,0.06520175188779831,626,1019,-0.006234875414520502,523,1001,0.06667640805244446,693,1063,-0.1414637416601181,495,1042,-0.0569458045065403
8,511,115,-0.06230267137289047,520,99,-0.044293925166130066,527,99,-0.04439884051680565,534,100,-0.044540535658597946,497,99,-0.04612872377038002,490,99,-0.04608593508601189,483,100,-0.04604117199778557,543,110,0.054411355406045914,474,113,0.0481395497918129,524,139,-0.023789921775460243,496,140,-0.026172876358032227,603,233,0.0820203572511673,422,230,0.09012515097856522,603,379,0.02598142996430397,444,336,0.05068138986825943,495,309,-0.02044179104268551,518,250,-0.007984491996467113,457,297,-0.04151230305433273,536,230,-0.027764251455664635,463,280,-0.025752302259206772,521,216,-0.024360233917832375,473,281,-0.013255069963634014,518,222,-0.009837727062404156,573,495,-0.0011436507338657975,460,501,0.0013848801609128714,594,742,-0.07811527699232101,482,741,-0.029039563611149788,643,982,-0.015415255911648273,509,968,0.05777621641755104,624,1015,-0.015787387266755104,524,1001,0.0588979497551918,692,1063,-0.15328027307987213,495,1042,-0.0658491849899292
9,513,122,-0.05796923488378525,521,105,-0.038096025586128235,527,105,-0.03820409998297691,534,105,-0.03835035115480423,500,105,-0.04242934659123421,492,105,-0.04239227995276451,485,106,-0.042353127151727676,542,113,0.06877617537975311,474,116,0.05036718770861626,525,143,-0.016651559621095657,498,145,-0.02232627384364605,599,233,0.09719164669513702,417,230,0.09123613685369492,607,376,0.02577926032245159,445,331,0.03990191966295242,510,310,-0.05127599462866783,513,239,-0.025769267231225967,467,297,-0.07843340933322906,534,197,-0.04846524819731712,471,281,-0.06622009724378586,514,189,-0.047484494745731354,481,282,-0.04657692834734917,513,196,-0.028792228549718857,572,493,0.002176307374611497,460,500,-0.0019306284375488758,594,737,-0.07683052122592926,481,741,-0.03581812232732773,638,976,-0.016988147050142288,509,968,0.05298495292663574,622,1009,-0.017705559730529785,525,1001,0.05409793183207512,688,1060,-0.1574060320854187,496,1042,-0.07496718317270279
